,0,1,2,3,4,5,6,7,8,9
0,800-899,10,0.6,0.4,,,,,,
1,900-999,60,0.45,0.533,0.0,0.75,,,0.0,1.0
2,1000-1099,240,0.475,0.458,0.5,0.4,0.333,0.667,0.391,0.478
3,1100-1199,642,0.517,0.435,0.389,0.611,0.455,0.545,0.643,0.357
4,1200-1299,1136,0.516,0.451,0.562,0.393,0.621,0.379,0.584,0.382
5,1300-1399,1831,0.521,0.438,0.353,0.609,0.49,0.431,0.536,0.42
6,1400-1499,2274,0.5,0.464,0.487,0.476,0.48,0.52,0.459,0.466
7,1500-1599,2471,0.5,0.461,0.445,0.492,0.452,0.476,0.516,0.456
8,1600-1699,2083,0.506,0.453,0.469,0.5,0.565,0.371,0.454,0.491
9,1700-1799,1720,0.477,0.475,0.42,0.532,0.458,0.508,0.444,0.507
10,1800-1899,1443,0.5,0.451,0.482,0.478,0.49,0.431,0.467,0.453
11,1900-1999,1013,0.487,0.465,0.397,0.564,0.526,0.421,0.573,0.402
12,2000-2099,638,0.45,0.491,0.519,0.427,0.588,0.353,0.375,0.604
13,2100-2199,370,0.495,0.446,0.507,0.449,0.368,0.526,0.525,0.425
14,2200-2299,152,0.513,0.368,0.486,0.4,0.571,0.429,0.667,0.222
15,2300-2399,62,0.371,0.484,0.273,0.364,0.0,1.0,1.0,0.0
16,2400-2499,10,0.1,0.6,0.0,1.0,,,,
17,total,16155,0.498,0.457,0.455,0.498,0.495,0.453,0.495,0.456
